1,1,1,6,1,7,Move,2024-07-17 14:43:47.177
2,2,1,4,1,5,Move,2024-07-17 14:43:47.193
3,1,2,2,7,9,Move,2024-07-17 14:57:16.030
4,2,2,4,5,9,Move,2024-07-17 14:57:16.033
5,1,3,6,9,15,Move,2024-07-17 14:59:07.100
6,2,3,6,9,15,Move,2024-07-17 14:59:07.103
7,1,4,1,15,16,Move,2024-07-17 14:59:55.100
8,2,4,4,15,19,Move,2024-07-17 14:59:55.100
9,1,5,6,16,22,Move,2024-07-17 14:59:56.510
10,2,5,1,19,20,Move,2024-07-17 14:59:56.510
11,1,6,3,22,25,Move,2024-07-17 14:59:57.740
12,2,6,3,20,23,Move,2024-07-17 14:59:57.740
13,1,7,6,25,31,Move,2024-07-17 15:00:07.613
14,2,7,2,23,25,Move,2024-07-17 15:00:07.617
15,1,8,2,31,33,Move,2024-07-17 15:00:08.597
16,2,8,3,25,28,Move,2024-07-17 15:00:08.597
